  1.0    28
  2.0    14
  3.0    26
  4.0    23
  5.0    26
  6.0    28
  7.0    30
  8.0    24
  9.0    31
 10.0    36
 11.0    40
 12.0    30
 13.0    16
 14.0    27
 15.0    31
 16.0    36
 17.0    29
 18.0    37
 19.0    30
 20.0    44
 21.0    27
 22.0    34
 23.0    25
 24.0    34
 25.0    34
 26.0    35
 27.0    43
 28.0    28
 29.0    41
 30.0    41
 31.0    30
 32.0    35
 33.0    37
 34.0    49
 35.0    41
 36.0    39
 37.0    42
 38.0    43
 39.0    46
 40.0    32
 41.0    36
 42.0    37
 43.0    40
 44.0    58
 45.0    52
 46.0    43
 47.0    43
 48.0    44
 49.0    43
 50.0    47
 51.0    55
 52.0    59
 53.0    42
 54.0    66
 55.0    51
 56.0    57
 57.0    64
 58.0    62
 59.0    69
 60.0    66
 61.0    55
 62.0    69
 63.0    65
 64.0    65
 65.0    65
 66.0    84
 67.0    94
 68.0    72
 69.0    91
 70.0    86
 71.0    80
 72.0    89
 73.0    88
 74.0    72
 75.0    79
 76.0    78
 77.0    73
 78.0    89
 79.0    79
 80.0   104
 81.0    85
 82.0   116
 83.0   101
 84.0   110
 85.0    97
 86.0   105
 87.0    92
 88.0   101
 89.0    98
 90.0   113
 91.0   108
 92.0   110
 93.0   109
 94.0   128
 95.0   120
 96.0   118
 97.0   110
 98.0   150
 99.0   108
100.0   134
