  1.0    20
  2.0    21
  3.0    21
  4.0    29
  5.0    25
  6.0    25
  7.0    26
  8.0    27
  9.0    32
 10.0    26
 11.0    36
 12.0    30
 13.0    22
 14.0    31
 15.0    37
 16.0    23
 17.0    26
 18.0    28
 19.0    23
 20.0    24
 21.0    37
 22.0    27
 23.0    37
 24.0    37
 25.0    29
 26.0    36
 27.0    34
 28.0    28
 29.0    36
 30.0    48
 31.0    41
 32.0    40
 33.0    37
 34.0    39
 35.0    32
 36.0    49
 37.0    44
 38.0    29
 39.0    50
 40.0    41
 41.0    46
 42.0    43
 43.0    52
 44.0    42
 45.0    40
 46.0    50
 47.0    63
 48.0    53
 49.0    44
 50.0    54
 51.0    41
 52.0    49
 53.0    58
 54.0    65
 55.0    60
 56.0    58
 57.0    52
 58.0    60
 59.0    68
 60.0    71
 61.0    60
 62.0    76
 63.0    74
 64.0    60
 65.0    83
 66.0    91
 67.0    90
 68.0    82
 69.0    80
 70.0    78
 71.0    84
 72.0    95
 73.0    78
 74.0    88
 75.0    90
 76.0    89
 77.0    84
 78.0    99
 79.0   105
 80.0   109
 81.0    94
 82.0    91
 83.0   103
 84.0    88
 85.0    92
 86.0    90
 87.0    99
 88.0   113
 89.0   100
 90.0   126
 91.0   117
 92.0   113
 93.0   118
 94.0   107
 95.0   103
 96.0   114
 97.0   118
 98.0   135
 99.0   131
100.0   139
