  1.0    30
  2.0    20
  3.0    28
  4.0    32
  5.0    21
  6.0    24
  7.0    26
  8.0    29
  9.0    24
 10.0    27
 11.0    23
 12.0    30
 13.0    30
 14.0    26
 15.0    32
 16.0    22
 17.0    26
 18.0    27
 19.0    32
 20.0    33
 21.0    23
 22.0    19
 23.0    31
 24.0    40
 25.0    30
 26.0    27
 27.0    40
 28.0    39
 29.0    41
 30.0    34
 31.0    45
 32.0    35
 33.0    35
 34.0    44
 35.0    49
 36.0    32
 37.0    47
 38.0    48
 39.0    44
 40.0    41
 41.0    56
 42.0    44
 43.0    41
 44.0    43
 45.0    62
 46.0    53
 47.0    58
 48.0    62
 49.0    49
 50.0    47
 51.0    53
 52.0    46
 53.0    73
 54.0    59
 55.0    80
 56.0    60
 57.0    56
 58.0    65
 59.0    46
 60.0    78
 61.0    57
 62.0    73
 63.0    64
 64.0    70
 65.0    80
 66.0    67
 67.0    80
 68.0    93
 69.0    89
 70.0    92
 71.0    92
 72.0   104
 73.0    81
 74.0   102
 75.0    80
 76.0    98
 77.0    90
 78.0    76
 79.0   107
 80.0    90
 81.0   110
 82.0   102
 83.0   102
 84.0    86
 85.0   104
 86.0   109
 87.0   113
 88.0   103
 89.0   115
 90.0   117
 91.0    97
 92.0   108
 93.0   133
 94.0   130
 95.0   124
 96.0   112
 97.0   118
 98.0   132
 99.0   148
100.0   129
